title,vendor,price,rating,reviews_count
Recently Viewed Products,Flintop,$49.00,,
eBay Product Importer & Affiliate,Nxtal,$49.00,,
Custom Order Number,Addify,$49.00,4.5,4
Assorted Products,CodeIncept,$79.00,,
Yoast WooCommerce SEO,Yoast,$79.00,,
Syncee Premium Dropshipping,Syncee,Free,3.5,3
Custom User Dashboard,Plugify,$49.00,,
Price per Unit PRO,MechComp,$29.00,,
Dynamic Cart & Checkout Notices,Addify,$49.00,,
SAPO Domestic Parcel Service,Atomic Web Strategy,$29.00,,
Power Automate,Reenhanced,$199.00,4.3,5
Keap Integration,WP Swings,$99.00,5,9
Sales Countdown Timer,FmeAddons,$49.00,3.7,3
Product Price Before and After Text,Kestrel,$49.00,,
Coupons by User Role,Addify,Free,,
Exporter for WooCommerce Points and Rewards,AspiringPlugins,$29.00,,
Roles & Rules B2B,Consortia AS,$99.00,5,5
Order Chatroom,u2code - Kolya Lukin,$79.00,4.3,10
Inventory Management,Shelf Planner,$149.00,4.7,12
Review Reminder,Flintop,$49.00,,
Last Minute Offer,WP1,$29.00,,
Support Ticket System,Plugify,$59.00,5,6
Order Product Samples,Plugify,$29.00,4.8,11
File Upload,KoalaApps,$49.00,3.7,3
Conditional Free Product,Amplify Plugins,$79.00,,
Taxamo Integration,OPMC,$79.00,,
Volume Discount Coupons,itthinx,$29.00,,
Store Vacation,MyPreview,$39.00,,
Best Sellers,Flintop,$49.00,,
Product Sales Count,Flintop,$49.00,,
Mautic Integration,WP Swings,$99.00,4,4
Boson Web3 Commerce,Redeemeum UK Limited,Free,,
GDPR Cookies,OPMC,$49.00,,
WISDM Custom Product Boxes,WisdmLabs - Building web solutions with Open Source,$79.00,5,3
Quick Checkout,Flintop,$49.00,,
Smart Bulk Variations,HighAddons,$49.00,4.1,7
Product Bulk Editor,WP Swings,$79.00,2.3,3
Cashback,Flintop,$79.00,3,4
Banner Images for WooCommerce,TheCodeFish,$29.00,4.4,8
Coupons Pro,Flintop,$79.00,,
Product Slider,Weave Apps,$29.00,,
Chargeflow,Chargeflow,Free,,
Central Stock,Syde,$99.00,,
Crowdfunding,WebMeteors,$49.00,,
Conditional Checkout,WebMeteors,$49.00,3,4
Virtual Try Glasses,Virtual Tryon,Free,,
Menu by User Roles,Addify,$29.00,3,4
Integration with Zoho Books & Inventory,WP Swings,$99.00,,
Zendesk Support Integration,OPMC,$129.00,,
Product Enquiry Form,FmeAddons,$49.00,,
Email Customizer for WooCommerce Subscriptions,YayCommerce,$79.00,,
ReadyCloud Suite,ReadyCloud CRM,$29.00,,
Flux Checkout,Iconic,$99.00,1,3
ACS Automatic Shipping Calculation,WPSlash,$49.00,,
WhatsApp Chat,FmeAddons,$49.00,,
Product Specification Table,Flintop,$49.00,,
Smart Registration,WebMeteors,$49.00,,
Advanced Cancel Order,Flintop,$49.00,4,3
Sell Individually,Flintop,$29.00,,
Evereye,eye4fraud,Free,5,13
Ajax Instant Search,KoalaApps,$49.00,,
Audio Player,FmeAddons,$29.00,3.7,3
Payment Method Based Fee & Discounts,Addify,$49.00,,
Mini Floating Cart,I13 Web Solution,$29.00,,
Product Warnings & Disclaimers,WiserSteps,$29.00,5,4
WP Fastest Site Search,ExpertRec,Free,,
Deals,Flintop,$49.00,,
Free Shipping Amount Counter,KoalaApps,$29.00,,
Additional Terms Pro,MyPreview,$29.00,,
Reserve Stock,Addify,$79.00,,
Advanced Shipment Tracking Pro,Zorem,$129.00,,
Wholesale Prices & Tiered Pricing,WebWizards,$99.00,,
Product Per Page,FmeAddons,$29.00,,
Zestard Easy Donation,Zestard,Free,4,4
All in One Files Upload,TheCodeFish,$49.00,1,3
Social Proof,Meow Crew,$79.00,,
Setary,Setary,Free,,
Extend - Bundle Discounts,Codup,$29.00,,
Pick List,Consortia AS,$99.00,5,8
GLS Shipping Method,Tehster,$79.00,4,4
Custom Stock Quantity Multiplier,eplugins,$29.00,,
After The Order,Tectalic,$79.00,,
Lebesgue: Marketing & LTV,Lebesgue,Free,,
Email Previewer,AspiringPlugins,$29.00,,
Image Watermark,Addify,$49.00,,
SAPO International Parcel Service,Atomic Web Strategy,$29.00,,
"Dynamic Pricing, Cart Discounts & Checkout Rules",YayCommerce,$79.00,,
Easy Checkout Address,WP1,$29.00,,
SEO Product Filter,Premmerce,$79.00,3.5,3
Antom,Antom,Free,,
Smart User Email Verification,KoalaApps,$49.00,,
Payment Plan Suite,Flintop,$129.00,,
Role & Customer Based Pricing,Meow Crew,$79.00,,
Megaventory Inventory Management,Megaventory,$29.00,,
Shein Product Importer,Nxtal,$49.00,2.3,4
Live Sales Notifications,FmeAddons,$49.00,,
First Purchase Discount,Plugify,$49.00,,
Cost of Goods Sold,Addify,$49.00,,
Yoast WooCommerce SEO (incl. Yoast SEO Premium),Yoast,$145.00,,
AltText.ai - AI Alt Text Generator,AltText.ai,Free,,
Search Products PRO,Search Products PRO,$79.00,,
Extend B2B - Catalog,Codup,$79.00,,
Ultimate Raffle,AspiringPlugins,$59.00,4.8,6
Enhanced Cloudflare Turnstile,Press75,$29.00,,
Order Chat,KoalaApps,$49.00,5,3
Elementor Connector,WPExtend,$49.00,,
WhatsApp Order and Live Chat,KoalaApps,$49.00,,
Octocom AI Agent,Octocom,Free,,
Competitions,wpinstitut.com,$109.00,,
Buy More Save More,KoalaApps,$49.00,5,6
Registration Form Fields,ThemeGrill,$49.00,,
"WooCommerce Shipping Calculator, Purchase Shipping Labels & Tracking for Customers",ELEXtensions,$79.00,,
Order Scheduler Pro,BizSwoop,$129.00,,
Cart Pricing,WebMeteors,$49.00,,
Variation Image Bulk Updater,Flintop,$29.00,,
Security,OPMC,$79.00,,
Reward Points,Aheadworks,$49.00,,
Progressive Discounts,Kestrel,$89.00,,
Role Based Tax,Addify,$79.00,,
Cash on Delivery Pro,Flintop,$79.00,2,3
Partial COD,WP Swings,$79.00,,
Krokedil Product Documents,Krokedil,$59.00,,
Email Reports,Zorem,$99.00,,
PW Sales Scheduler,"Pimwick, LLC",$99.00,,
Advanced Easy Shipping,Idomit Solutions,$49.00,,
Reverb Integration,CedCommerce,$199.00,4.3,3
AntsRoute Delivery Scheduling & Optimization,AntsRoute,$49.00,,
PrestaShop Migration,FmeAddons,$79.00,,
Product Designer for WooCommerce by KILB,Kilb,$299.00,,
Post-Purchase Offers,Flintop,$49.00,,
Products and Orders Sync,Additions Store,$59.00,4.3,6
Simple Sale Countdown Timer,Avamaksa,$49.00,,
Webis Multilingual,Web Industrial Solutions (Webis),$49.00,,
Buy Now or Subscribe and Save for WooCommerce Subscriptions,AspiringPlugins,$49.00,4,3
Advanced Donation,Addify,$79.00,,
Next Order Reward,WP1,$29.00,,
Gamification,WPExperts,$79.00,,
Verisart,Verisart Inc.,Free,,
Billie,Billie GmbH,Free,,
Shipping Countdown,Kestrel,$79.00,,
WooCommerce,Woo,Free,,
Groups,itthinx,Free,,
Shared Attribute Stock,Addify,$49.00,5,3
Scratch Coupon,WP1,$29.00,,
Multi Store Manager,Plugify,$49.00,,
Aliexpress Product Importer & Affiliate,Nxtal,$49.00,,
Spin Wheel Popup,SKROTRON,$29.00,,
Affiliate and Referral Program,RedefiningTheWeb,$79.00,4.6,9
MONEI Payments,MONEI,Free,,
Advanced Conditional Shipping,Addify,$79.00,,
Mystery Gift Box,Flintop,$79.00,,
Shopify Migration,OPMC,$79.00,,
Weight Based Shipping,Addify,$59.00,,
Fundraising,WPExperts,$49.00,5,8
Product Questions And FAQ,Aheadworks,$79.00,,
Image Zoom Pro,Flintop,$49.00,,
Lower Price or Best Price Guarantee,Flintop,$49.00,,
EU Energy Label,TheCodeFish,$29.00,4.2,6
Cancellation Survey and Offers for WooCommerce Subscriptions,Meow Crew,$79.00,,
Advanced Extra Fees,theDotstore,$99.00,,
Birthday Coupons,Flintop,$29.00,,
Price Drop Notifier,Flintop,$49.00,,
Advanced Bulk Edit,StoreApps,$59.00,,
Sales Triggers,Flintop,$49.00,,
Sort Products,Extify Plugins,$39.00,5,3
Product Sold Counter,KoalaApps,$39.00,,
Tilopay,Tilopay,Free,,
Remove Related Products,Tehster,$19.00,,
Quotes for WooCommerce Pro,TechnoVama,$79.00,,
Instant Checkout,WPExperts,$49.00,,
Customer Support,OPMC,$79.00,,
FAQs Manager,KoalaApps,$39.00,,
ACS Courier Voucher,WPSlash,$129.00,5,5
Free Product Sample,Amplify Plugins,$29.00,,
Add custom shipping icons & hide shipping methods,FmeAddons,$49.00,,
Gift Card by Aheadworks,Aheadworks,$49.00,,
Order Notifications on WhatsApp,Procomltd,$79.00,1.3,3
Sales Booster,HighAddons,$79.00,,
Order Limit for WooCommerce,XfinitySoft,$49.00,,
IOSS EU VAT,Óscar Gare,$49.00,,
Crowdfunding Pro,Flintop,$79.00,,
QuickSync for Shopify,R.I.T.N.S LLC,Free,,
Product Cleaner,ThemeDyno,$29.00,,
Ultimate Payment Plans,AspiringPlugins,$59.00,,
Limited Edition Products,Flintop,$49.00,,
Checkout Deal,WP1,$29.00,,
Walmart Product Importer & Affiliate,Nxtal,$49.00,,
AI Image Enhancer,PerfectProduct.ai,Free,,
Advanced Split Order,Addify,$49.00,,
OnBuy Integration,CedCommerce,$29.00,,
WP Rocket,WP Rocket,$59.00,,
Magento Migration,FmeAddons,$79.00,5,6
Archiva,TechnoVama,$49.00,4.7,3
Travel Tour Booking,ovatheme,$59.00,,
Geolocation Based Products Filter,Extendons,$49.00,,
Newly Released Products,Flintop,$49.00,,
Catch Integration,CedCommerce,$199.00,4.3,6
One-Click Clear Cart,KoalaApps,$29.00,,
Phone Number Validation,W7S,$29.00,,
Returns for WooCommerce,Zorem,$129.00,,
Essential Wishlist,NordicMade,$49.00,,
Save Now Buy Later,WP1,$29.00,,
YouTube Playlists and Product Gallery Videos,TheCodeFish,$49.00,,
Flow Notify,BizSwoop,$89.00,,
Visa Acceptance Solutions,Visa Acceptance Solutions,Free,,
Exit Intent Coupons,Flintop,$49.00,,
Auto Complete Orders,Addify,$49.00,,
M2E Multi-Channel Fulfillment by Amazon (MCF FBA),M2E LTD,Free,,
Secure Store Data,Plugify,$29.00,,
Wish.com Integration,CedCommerce,$199.00,4.6,5
Biometric Login,FmeAddons,$29.00,,
Product Key Features,Argy Apps,$29.00,,
Avalon23 Products Filter,Paradigma Tools,$77.00,,
Extend - Product Page Customizer,Codup,$49.00,,
Paytrail,Paytrail,Free,,
License Manager,WPExperts,$129.00,,
Alternate Product Recommendations,Flintop,$49.00,,
The SEO Framework - Premium,The SEO Framework,Free,,
Admin Order Modifier,Robot Dwarf,$79.00,,
Configurable Products Builder,Addify,$99.00,,
WSDesk - Helpdesk & Customer Support Ticket System,ELEXtensions,$99.00,,
Collab Cart,Collab Cart,$49.00,,
Store Locator with Google Maps,Addify,$49.00,,
Advanced Pre Order and Backorder,Addify,$129.00,,
Countdown & Notifier,SKROTRON,$49.00,,
US Export Compliance,Insideout10,$129.00,,
Disable Payment Methods by Countries,TechRBun,$29.00,,
authorized.by® Seal with TÜV-ShopIdent,authorized.by GmbH,$29.00,,
Product Lead Time,Plugify,$49.00,,
Flexi BOGO,Tyche Softwares,$49.00,,
Notifications with WhatsApp,Array.codes,$99.00,,
Assign Orders,Vibe Agency,$79.00,,
Walmart Canada Integration,CedCommerce,$199.00,4.7,4
M2E Kaufland Connect,M2E LTD,Free,,
File Uploader,Extendons,$49.00,,
Ultimate Custom Product Fields,FmeAddons,$49.00,,
Wholesale Order Form & Requisition Lists,WebWizards,$79.00,,
Rich Snippets & Schema Markup,Extendons,$79.00,,
Skroutz Marketplace & XML,WPSlash,$79.00,,
Bol Product Importer,Nxtal,$49.00,,
Upload Files,WebMeteors,$49.00,,
Subscribers & Members Special Pricing,Meow Crew,$79.00,,
Smart Category,WPSlash,$29.00,,
Re-engagement Coupons,Flintop,$49.00,4.5,3
Wix to Woo Migration,FmeAddons,$79.00,,
Quick Order Edit,WPSlash,$49.00,,
Abandoned Cart,WPExperts,$49.00,,
ManoMano Integration,CedCommerce,$199.00,,
Bulk Edit Products & Orders,Addify,$79.00,,
Attribute Price Markup & Discount,Addify,$49.00,,
Affiliate Suite,Flintop,$99.00,,
Gift Wrap Option,KoalaApps,$49.00,,
Abandoned Cart Recovery with Dynamic Coupons,ELEXtensions,$79.00,,
Extend B2B - Price List,Codup,$29.00,,
Custom Checkout Fields Editor,WPExperts,$49.00,,
Elta Courier Voucher,WPSlash,$129.00,,
Yotpo Product Reviews & UGC,Referral Partner,Free,,
PDF Packing Slips and Invoice Builder,WPExperts,$49.00,,
Coming Soon Products,FmeAddons,$49.00,,
Group Attributes,Plugify,$49.00,3.7,3
Bulk Add to Cart,Aheadworks,$49.00,,
Stachethemes Seat Planner,Stachethemes,$59.00,,
Country Based Product Pricing,Addify,$49.00,,
Smart Customers Manager,Addify,$79.00,,
Ajax Pagination & Infinite Scroll,FmeAddons,$49.00,,
Custom Pricing,Flintop,$79.00,,
Perfect Brands for WooCommerce Pro,QuadLayers,$49.00,,
View as Customer,Zorem,$39.00,,
Kogan Integration,CedCommerce,$199.00,2.3,3
Intercom Integration,OPMC,$129.00,,
Geniki Taxydromiki Voucher,WPSlash,$129.00,,
Smart Birthday Discounts,Plugify,$49.00,,
Password Protect,Addify,$49.00,,
WhatsApp Notification and Messaging,RedefiningTheWeb,$49.00,,
Really Simple Featured Video,Codestag,$49.00,,
CartPulse,weDevs,$99.00,,
Minimum Order Amount,Xyno Tech,$49.00,,
Multi Vendor Marketplace,Flintop,$129.00,,
GeekSeller Multichannel Order Management,GeekSeller,$129.00,,
Tip Pro,Flintop,$49.00,,
Tipping at Cart and Checkout,Addify,$39.00,,
Qala Product Price History,Angry Creative,$49.00,,
Push Notifications,KoalaApps,$49.00,,
Anti-Fraud Shield,KoalaApps,$89.00,,
Shipping Insurance Manager,W7S,$29.00,,
QuickSync for Etsy,R.I.T.N.S LLC,Free,,
Order Delivery Date & Time Scheduler,KoalaApps,$79.00,,
Stachethemes Orders SKU Search,Stachethemes,Free,,
Multiple Shipping Boxes Per Product,Plugify,$49.00,,
Blacklist,Bake My WP,$49.00,,
UTM Tracking,WPGens,$59.00,,
Digital Order Signature,Plugify,$39.00,,
GTM Kit,TLA Media,$99.00,,
Ultimate Refunds,AspiringPlugins,$49.00,,
Kestrel AI,Kestrel,$89.00,,
Company Credit,Aheadworks,$79.00,,
Marketing Automation,Icegram,$99.00,,
Firebase Analytics,Appmaker,$29.00,,
Speedex Courier Voucher,WPSlash,$129.00,5,3
SHEIN,CedCommerce,Free,,
Product Sorting & Re-Ordering,HappyKite,$39.00,4.8,4
Product Quantity,WPExperts,$49.00,,
Advanced Returns and Refunds,KoalaApps,$49.00,,
VideographyWP PRO – Product Video,CodeFlavors,$49.00,,
Membership Suite,Flintop,$199.00,,
TaxCloud,TaxCloud,Free,,
Invisible reCAPTCHA,LCweb Projects,$23.00,,
Smart Discounts and Coupons,WPExperts,$49.00,,
Sparks,Themeisle,$79.00,,
Price Guaranteed,FmeAddons,$49.00,,
Advanced Reviews,Aheadworks,$79.00,,
Store Credits & Gift Cards,WPExperts,$49.00,,
OpenCart to WooCommerce Migration,FmeAddons,$79.00,,
Jackpot Wheel,WP1,$29.00,,
Pro Add-on for Dropshipping,OPMC,$149.00,,
Facebook Messenger Chatbot,FmeAddons,$49.00,,
All-in-One Popup,Gutenmate,$49.00,,
Live Sales Map,OPMC,$79.00,,
Savings Plan,Flintop,$79.00,,
Addify PDF Invoices & Packing Slips,Addify,$69.00,,
Product Image Zoom,Extendons,$49.00,,
Smart Custom Product Addons and Fields,WPExperts,$49.00,,
Fruugo Integration,CedCommerce,$49.00,,
Advanced Pay What You Want,Addify,$49.00,,
Product Table Builder,StorePlugin,$49.00,,
Pay Your Price,WPExperts,$49.00,,
Dynamic And Role Based Pricing,WPExperts,$49.00,,
Request Your Price,HighAddons,$49.00,,
Product Attachments Pro,Extify Plugins,$39.00,,
Order Delivery Date,Tyche Softwares,$119.00,,
Phone Validator and Formatter,Karolína Vyskočilová,$29.00,5,6
Product Input Fields,Tyche Softwares,$49.00,,
Custom Product Designer,Extendons,$79.00,,
Price on Request & Quote,Plugify,$69.00,,
Google Automated Discounts Pro,SweetCode,$99.00,,
Notifications for WooCommerce,WPExperts,$49.00,,
Hide Paid Shipping Methods,Amplify Plugins,$29.00,,
WPGens Points and Rewards,WPGens,$89.00,5,5
Uber Direct Shipping,W7S,$49.00,,
Consent Mode Banner PRO,Tag Concierge,$39.00,,
Bulk Update Subscription Price,eplugins,$29.00,,
WhatsApp Purchase Assistant,Webkul,$99.00,,
One Click Re-Order,Torvo AU,$29.00,,
Attribute Stock Manager,Flintop,$49.00,,
Browser Tab Notification,Plugify,$29.00,,
Conditional Shipping and Table Rates,Smartenizer,$79.00,,
Add-on for WooCommerce Points and Rewards,AspiringPlugins,$49.00,,
Linked Products,Addify,$59.00,,
Ultimate Tax Exemption,AspiringPlugins,$39.00,,
Cart Sorting,WPSlash,$49.00,,
ShippingEasy,ShippingEasy,Free,,
Nexa Currency Switcher,Nexa Plugins,$49.00,5,4
Booking and Appointment,Extendons,$79.00,,
Product PDF Catalog,KoalaApps,$49.00,,
Multistep Checkout,FmeAddons,$49.00,,
Role Based Discounts,Extify Plugins,$49.00,,
Email Customizer and Designer,Acowebs,$39.00,,
B2B Invoice Payment Method,WPExperts,$49.00,,
Coupon Email System,eplugins,$29.00,,
Checkout Enhancer,Flintop,$149.00,,
Migrate Import BigCommerce,FmeAddons,$79.00,,
Group Buying,Addify,$79.00,,
Extra Product Options,YayCommerce,$59.00,,
Product Promotion Badges,Gutenmate,$49.00,,
Kivo Search,Kivo Search,$49.00,,
Side Cart & Checkout,Extify Plugins,$39.00,,
Product Quantity Dropdown,Extendons,$29.00,,
Multistep Product Variations,FmeAddons,$49.00,,
Conditional Fees,WPExperts,$49.00,,
Price by Weekday,Plugify,$49.00,,
Tickets for WooCommerce,Referral Partner,Free,,
Conditional Extra Fees,KoalaApps,$69.00,,
Connect & Manage Multiple Stores,Plugify,$59.00,,
Smart Wishlist,WPExperts,$49.00,,
EasyCSV & FTP / SFTP,EasyCSV,Free,,
Advanced Order Notes,WPExperts,$29.00,,
Recover Abandoned Carts Suite,Flintop,$79.00,,
Before / After Product Compare Slider,WPExtend,$29.00,,
Bonanza Integration,CedCommerce,$199.00,,
Cash Payment on Pickup,W7S,$29.00,,
Bulk SKU Generator,Addify,$49.00,,
Mobile App Builder,FmeAddons,$149.00,,
Commercium Marketplace Integration,ConstaCloud Private Limited,Free,,
Side Popup Cart,FmeAddons,$39.00,,
Stock Manager,FmeAddons,$49.00,,
Discount Reminder,Plugify,$49.00,,
Bulk Edit Variations Prices,Xyno Tech,$39.00,,
Abandoned Cart Pro,Tyche Softwares,$119.00,,
Digital Goods Checkout,Addify,$39.00,,
Product Variations and Swatches,WPExperts,$49.00,,
Quick Digital Checkout,WPVenus,$49.00,,
Zendesk Ticket Manager,MorfDev,$99.00,,
Repeat Order and Buy Again,FmeAddons,$39.00,,
Generate Cart & Checkout Links,Plugify,$29.00,,
Payment Gateway Based Fees and Discounts Pro,Tyche Softwares,$49.00,,
Advance Conditional Payment Methods,Extendons,$69.00,,
Product Short Description,Extendons,$39.00,,
Smart Stock & Inventory Manager,StoreApps,$49.00,,
Delivery Time Cut-off,Domainsafe.co.uk,$29.00,,
Easy Product Subtitle,AspiringPlugins,$29.00,,
Advanced URL Coupons,Addify,$49.00,,
Variations Manager,Plugify,$59.00,,
Enhanced Order Notes,Robot Dwarf,$79.00,,
Restrict Product Purchases,Nexolis,$49.00,,
Buy Now Button,FmeAddons,$29.00,,
Flexi Deposits,Tyche Softwares,$119.00,,
Advance Pricing Calculator,Extendons,$79.00,,
Variable Product Bundle,Torvo AU,$29.00,,
Delivery Options,WPExperts,$99.00,,
Advanced Sales Booster,Plugify,$99.00,,
Anti Fraud Protection,Smartenizer,$89.00,,
Order Shipment Tracking,W7S,$49.00,,
Flexi Custom Order Status,Tyche Softwares,$49.00,,
Upload Files & Product Attachments,Plugify,$59.00,,
Goodcom Printer,Goodcom,$79.00,,
Admin Tools,TIV.NET INC.,$49.00,,
Archive Old Orders,W7S,$49.00,,
PDF Invoice and Credit Notes,Carien Software,$59.00,,
Restrict Payment Methods,itthinx,$49.00,,
Food Ordering Manager,BiancoNet,$99.00,,
Test Orders,AspiringPlugins,$29.00,,
B2B Company Credits and Permissions,WPExperts,$49.00,,
Smart Social Proof and FOMO,eCommerce Tools,$29.00,,
Product Slider and Carousel,Extendons,$29.00,,
Smartlink Discount URLs,W7S,$29.00,,
Product Feed Manager,WP Marketing Robot,$99.00,,
Social Sharing Discounts,FmeAddons,$49.00,,
Variation Recommendation,Flintop,$29.00,,
GDPR Cookie Consent,WebToffee,$69.00,,
WebToffee Sequential Order Numbers,WebToffee,$59.00,,
Currency Per Product,Tyche Softwares,$59.00,,
Custom Registration Fields,Extendons,$59.00,,
Bulk Category Creator,Kartechify,$19.00,,
Request a Quote for Price,Extendons,$59.00,,
Quick View & Buy,Extify Plugins,$39.00,,
Skip Cart and Direct Checkout,KoalaApps,$49.00,,
Pay for Post,Plugify,$29.00,,
Multiple Packages per Product,Jeroen Sormani,$49.00,,
Call for Price Pro,Tyche Softwares,$39.00,,
Discount On Cart,Multi Addons,$29.00,,
Subscriptions Cancellation Period,Addify,$69.00,,
Shipped Order Status,Torvo AU,$29.00,,
QODE Wishlist Pro,Qode,$89.00,,
B2B Payments,WPExperts,$49.00,,
Product Info Blocks,SuitePlugins,$49.00,,
Flipkart Product Importer,Nxtal,$49.00,,
Custom Roles & Pricing,WPMajesty,$49.00,,
Redirect User After Login And Register,Extendons,$29.00,,
Product Feed,WebToffee,$89.00,,
Real Simple Autocomplete,secretchord.io,$39.00,,
Open Price,Xyno Tech,$39.00,,
Sort Products in Cart and Order,Kartechify,$19.00,,
Registration Fields & User Roles Approvals,Plugify,$59.00,,
Easy Pre-Orders,Appalify,$99.00,,
Lucky Draw,FmeAddons,$59.00,,
Smart Inventory Management,WPExperts,$79.00,,
accessiBe,accessiBe,Free,,
Instock Notifier,GrandPlugins,$39.00,,
Split Copy Merge Order Actions,W7S,$59.00,,
Shipment and Order Tracking,FmeAddons,$49.00,,
Hide Add to Cart and Price,FmeAddons,$39.00,,
Customized Thank You Pages,Extendons,$49.00,,
Product Documents and Attachments,FmeAddons,$39.00,,
Product Availability Scheduler,KoalaApps,$49.00,,
Download and Share Orders,Xyno Tech,$29.00,,
Salesman,MarketPress GmbH,$99.00,,
Cart-Based Tiered Discounts,Nexolis,$39.00,,
Smart Cart Manager,Smartenizer,$49.00,,
Flexi Custom Order Numbers,Tyche Softwares,$49.00,,
Role-Based Product Vault,Additions Store,$39.00,,
Product Image Watermark,Extendons,$49.00,,
Order By Spreadsheet,lsDevign CommV.,$149.00,,
Smart Sequence Order Number,WPExperts,$49.00,,
Sitewide Sale for WooCommerce,KoalaApps,$49.00,,
PricePulse Discounts and Coupons,RedefiningTheWeb,$39.00,,
Order Archive,Torvo AU,$59.00,,
Advanced Product Comparison,Extify Plugins,$49.00,,
Conditional Popup,TurboPlugins,$39.00,,
Inline Order Notes,WPStoreTools,$29.00,,
Product FAQs and Questions,Extendons,$39.00,,
Customer Info,Zorem,$59.00,,
Custom Tabs and Product Compare,FmeAddons,$69.00,,
Bulk Price Editor,u2code - Kolya Lukin,$69.00,,
QODE Variation Swatches Pro,Qode,$69.00,,
Product Catalog Master,Additions Store,$69.00,,
Product Email Segmentation,AFPAIR,$29.00,,
Ready to Collect Order Status,Torvo AU,$29.00,,
ShopGPT,ShopGPT,Free,,
Quantity Breaks Bogo Offers,FmeAddons,$59.00,,
Boomerang Returns,ShopShapes,$129.00,,
Constellation,Kestrel,$249.00,,
Easy Product Description in Shop,AspiringPlugins,$29.00,,
Custom Product Message,Fictive Hut,$29.00,,
Easy Inventory And Stock Manager Pro,Smackcoders Inc,$49.00,,
Generate QR Code,Plugify,$39.00,,
Delivery Time Slots,Azent Labs,$29.00,,
Quantity Increment Buttons,Extify Plugins,$29.00,,
Hide Shipping Methods Based on Conditions,Extendons,$39.00,,
URL Coupon Code,FmeAddons,$39.00,,
Smart Stock Notifications,"Andale Technolgies, SARL",$29.00,,
Buy for me for WooCommerce,KoalaApps,$39.00,,
Latest Lowest Price,Search Products PRO,$39.00,,
Save and Share Cart for Later,FmeAddons,$39.00,,
Custom Size Charts,Extify Plugins,$39.00,,
Order Priority,Xyno Tech,$39.00,,
Product Quick View,Acowebs,$39.00,,
Smart Stock Notifier,Nexolis,$39.00,,
Cart to Quote & Social Share,Xyno Tech,$49.00,,
Deals and Promotional Offers,Addify,$59.00,,
FAQ+ - Ask Product Questions,I13 Web Solution,$29.00,,
Product Review Summary and Feedback,Gutenmate,$49.00,,
Thank You Page Content Blocks,WebPerfect,$99.00,,
Google Tag Manager for WooCommerce PRO – Multilingual add-on,Tag Concierge,$99.00,,
Visibility Vault,Endorix,$29.00,,
Smart Variations & Attributes Display,TheCodeFish,$29.00,,
Custom Fields Manager,FmeAddons,$69.00,,
Add to Cart Custom Redirect,FmeAddons,$29.00,,
Smart Coupon Manager,Nexolis,$49.00,,
Role Based Analytics,CoderPlus,$49.00,,
WeatherWise Product Recommendations,Lucas Huls Media,Free,,
RRP / MSRP Product Pricing,W7S,$29.00,,
European VAT Validator,Teamwant,$39.00,,
Bulk Order Status Updater,Giorgos Grispos,$39.00,,
LC Refund Requests,LCweb Projects,$45.00,,
Control Your Order Status,FmeAddons,$29.00,,
WCC Freshsales,We Connect Code,$99.00,,
Offer Your Price,Extendons,$49.00,,
Flexi Product Delivery Date,Tyche Softwares,$119.00,,
SMS Alert Notifications,FmeAddons,$79.00,,
Wholesale and Bulk Order Form,FmeAddons,$49.00,,
"Save, Share Cart & Get Discount",Extify Plugins,$49.00,,
Success Dashboard,Property Hive,$39.00,,
Request a Callback,Plugify,$39.00,,
Voice buy for WooCommerce,Techminers,$29.00,,
Product Insurance,W7S,$29.00,,
Quick Order Export to MessagingApp,PhpGuruAcademy,$29.00,,
Order Protection,Xyno Tech,$49.00,,
Discogs Integration,ConstaCloud Private Limited,Free,,
CodeZeera Customer Order Manager,CodeZeera,$29.00,,
AppMySite,"AppMySite, Inc.",Free,,
Smart Daily Checks,Nevma,$129.00,,
Wildberries Product Importer,Nxtal,$49.00,,
iziTuning,REVOLUMEDIA,$29.00,,
Jetpack CRM for WooCommerce,Jetpack,Free,,
Product Inquiry Via WhatsApp,Nexolis,$39.00,,
Country Based Pricing,FmeAddons,$39.00,,
Advanced Product Sorter,Azent Labs,$39.00,,
BayX Importer,Azent Labs,$39.00,,
Bulk Tag Creator,Kartechify,$29.00,,
Notion Connector,W7S,$89.00,,
Extra Order Filters,Kartechify,$19.00,,
Migrate Import Squarespace,FmeAddons,$79.00,,
Country Based Cart Surcharge,Nexolis,$29.00,,
Hide Products by User Roles,FmeAddons,$49.00,,
First Purchase Reward,TheCodeFish,$29.00,,
Lightweight Variation Swatch Changer,adamjablonski.dev,$39.00,,
Price History,Xyno Tech,$49.00,,
Kymvex Inventory Alert,Kymvex,$29.00,,
QODE Quick View Pro,Qode,$59.00,,
Server GTM Hosting,Tag Concierge,Free,,
Bargain Buy,WP1,$29.00,,
Product Description Feedback,Plugify Lab,$29.00,,
GeekSeller Full Suite Multichannel,GeekSeller,Free,,
JD Product Importer,Nxtal,$49.00,,
Influence Rewards,AFPAIR,$39.00,,
Infinite Reports,AFPAIR,$59.00,,
Google reCaptcha Integration,FmeAddons,$29.00,,
Price History Manager,W7S,$29.00,,
External Images,External Images,$99.00,,
Shop the Look,KoalaApps,$39.00,,
Low Stock Notifer,PhpGuruAcademy,$39.00,,
Holded Invoices,Kamalyon,$49.00,,
Flash Sale,Extendons,$39.00,,
