title,vendor,price,rating,reviews_count
Instagram Sync,Kestrel,$99.00,2.7,15
Product Filters for WooCommerce,Woo,$79.00,2.2,34
Moneris Gateway,SkyVerge,$99.00,3,28
Free Gift Coupons,Backcourt Development,$39.00,4.6,10
Postcode/Address Validation,SkyVerge,$49.00,3.4,9
Rapyd Payments,Rapyd,Free,3.6,5
Bolt Checkout,Bolt,Free,,
Role-Based Payment / Shipping Methods,WP BackOffice,$59.00,4.4,7
Currency Converter Widget,Kestrel,$59.00,2.8,5
Mix and Match Products,Backcourt Development,$89.00,5,68
PDF Product Vouchers,SkyVerge,$129.00,3.9,41
Buy One Get One Free,Óscar Gare,$49.00,4.5,35
Free Gifts,Flintop,$79.00,4.5,31
Custom User Registration Fields,Addify,$59.00,4.8,59
Paystack,Paystack,Free,3.9,9
Printful: Print on Demand,Printful,Free,3.4,12
Coinbase Commerce,Coinbase Inc,Free,3.7,16
Store Credit,Kestrel,$89.00,3.4,13
Payment Gateway Based Fees,InoPlugs,$49.00,4.3,11
Chained Products,StoreApps,$79.00,4.5,25
Role Based Pricing,Addify,$79.00,4.8,66
Anti-Fraud,OPMC,$129.00,3.4,46
B2B for WooCommerce,Addify,$179.00,4.7,124
Advanced Shipping Packages,Jeroen Sormani,$49.00,5,12
Cart Notices,SkyVerge,$49.00,3.7,7
AutomateWoo - Refer A Friend add-on,Woo,$99.00,1.8,5
Creative Mail,Constant Contact - Creative Mail Team,Free,3.3,4
Subscribe to Newsletter,Kestrel,$59.00,3.4,6
WooCommerce Distance Rate Shipping,Woo,$99.00,3.8,4
Dropshipping,OPMC,$79.00,2.6,32
Custom Thank You Pages,Jeroen Sormani,$49.00,3,7
Packlink PRO,Packlink Shipping,Free,3.1,14
Donation,WPExperts,$99.00,4.1,68
Amazon for WooCommerce,CedCommerce,Free,3.9,59
TIV Multi-Currency,TIV.NET INC.,$149.00,3.4,18
Cart Reports,WP BackOffice,$89.00,2.7,6
Product Reviews Pro,SkyVerge,$79.00,3.5,13
Clearpay,Clearpay,Free,,
Amazon Fulfillment (MCF),Never Settle,$99.00,2.9,20
Bambora,SkyVerge,$79.00,3.9,11
RedSys Gateway | Pasarela Redsys,Jose Conti,$79.00,4.9,54
Product Video,Addify,$59.00,4.3,52
WooCommerce Analytics,Woo,Free,4.5,6
PayPal Zettle,Syde,Free,3.8,9
Tiered Pricing Table,u2code - Kolya Lukin,$79.00,4.9,61
Order Delivery,Kestrel,$149.00,3.5,10
GoCardless,GoCardless,Free,3.1,7
Twilio SMS Notifications,SkyVerge,$49.00,,
Admin Custom Order Fields,SkyVerge,$99.00,4.4,5
Tax Exempt,Addify,$59.00,4.6,25
DePay Payments,DePay,Free,4.4,10
Advanced Product Labels,Jeroen Sormani,$49.00,,
Easyship,Easyship,Free,3.9,9
Teams for WooCommerce Memberships,SkyVerge,$129.00,4.5,11
Product Documents,SkyVerge,$49.00,,
Abandoned Cart Recovery,Addify,$79.00,4.8,26
Lightspeed POS,Kestrel,$249.00,4.3,36
AWeber Integration,Kestrel,$59.00,4.4,8
USA ePay,Kestrel,$89.00,,
Vimeo,Vimeo,Free,5,4
Ajax-Enabled Enhanced Layered Navigation,Kestrel,$59.00,3,3
Nested Category Layout,SkyVerge,$79.00,4.3,4
PayTrace Gateway,VanboDevelops,$79.00,,
Conditional Checkout Fields & Edit Checkout Fields,FmeAddons,$49.00,4.6,106
CyberSource Payment Gateway,SkyVerge,$79.00,4.3,8
Customize My Account,ThemeGrill,$59.00,3.8,6
Sendcloud,Sendcloud,Free,5,4
Windcave Gateway,OPMC,$79.00,2.7,7
NAB Transact,Tyson Armstrong,$79.00,,
Products Visibility by User Roles,Addify,$59.00,4.5,21
Quantity Discounts & Pricing,Plugify,$49.00,4.9,57
Hide Price & Add to Cart Button,Addify,$49.00,4.8,40
Contact for Shipping Quote,Jeroen Sormani,$49.00,3.4,18
Google reCaptcha,KoalaApps,$29.00,4.5,15
Import Export Suite,WebToffee,$129.00,3.9,15
Rental Products,Kestrel,$189.00,4.6,23
Customer Upload Files,FmeAddons,$49.00,4,64
"Bulk Edit Products, Prices, and Attributes",ELEXtensions,$79.00,3.8,11
Extra Fees,Flintop,$79.00,4.6,14
Envia Shipping and Fulfillment,Envia Shipping and Fulfillment,Free,4.5,38
Multichannel for WooCommerce,CedCommerce,Free,3.8,29
Email Attachments,InoPlugs,$29.00,,
Lottery,Flintop,$129.00,4.2,37
Bank of America,Bank of America,Free,2.4,16
Enhancer for WooCommerce Subscriptions,Flintop,$99.00,3.8,6
Conditional Content,Element Stark,$49.00,,
Products By Attributes & Variations,Addify,$69.00,4.8,17
Paya for WooCommerce (formerly Sage Payments USA),Andrew Benbow,$79.00,2.5,4
Mailchimp for WooCommerce Memberships,SkyVerge,$49.00,3.7,3
Coupon Referral Program,WP Swings,$49.00,4.5,22
Sales Report Email,Kestrel,$59.00,,
Tag Pilot PRO GTM Integration,Tag Concierge,$99.00,5,25
Add Featured Videos in Product Gallery,FmeAddons,$49.00,4.2,41
Advanced Product Quantity,Addify,$59.00,4.6,25
Bulk Variation Forms,Element Stark,$49.00,,
BeProfit: Profit Calculator & Business Reports,Viably Capital Inc,Free,2.2,5
Account Funds,Kestrel,$89.00,,
Customer History,Brian Richards,$49.00,,
Split Orders,Vibe Agency,$49.00,4.3,7
Airwallex Payments,Airwallex,Free,3,4
Splash Popup,Kestrel,$59.00,,
"Redirect After Login, Registration, and Logout",Addify,$29.00,5,9
Meta Ads & Pixel,Kliken,Free,,
Cart Upsell,SKROTRON,$29.00,1,5
WS Form PRO Product Custom Fields Add-Ons,Westguard Solutions,$49.00,4.8,8
Currency Switcher,WPExperts,$99.00,4.3,38
Bulk Table Editor,Consortia AS,$89.00,4.8,13
Extra Custom Product Options,Plugify,$49.00,4.8,41
Product Retailers,SkyVerge,$49.00,4.7,3
Google Address Autocomplete,HighAddons,$49.00,3.1,11
Google Merchant Center Customer Reviews Integration,WebPerfect,$79.00,3.7,10
Quick Buy Now Button,Addify,$39.00,4.4,17
Recommendation Engine,Element Stark,$79.00,2.6,5
Add to Cart Redirect,Jeroen Sormani,$29.00,,
ANZ eGate (MIGS),Tyson Armstrong,$79.00,,
Weglot Translate,Weglot,Free,2.5,4
Extend - Referral System,Codup,$49.00,,
Group Coupons,itthinx,$49.00,,
AutomateWoo - Birthdays add-on,Woo,$49.00,,
Product Badges,Kestrel,$79.00,4.6,5
Price By Country,HighAddons,$49.00,4.2,10
Buy Once or Subscribe for WooCommerce Subscriptions,eCommerce Tools,$79.00,4.7,10
